Acidic Slime|G|{3}{G}{G}
Acidic Sliver|B,R|{B}{R}
Acidic Soil|R|{2}{R}
Acolyte of Affliction|B,G|{2}{B}{G}
Acolyte of Xathrid|B|{B}
Acolyte of the Inferno|R|{2}{R}
Acolyte's Reward|W|{1}{W}
Acorn Catapult||{4}
Acorn Harvest|G|{3}{G}
Acornelia, Fashionable Filcher|B,G|{3}{B}
Acquire|U|{3}{U}{U}
Acquisitions Expert|B|{1}{B}
Acridian|G|{1}{G}
Acrobatic Maneuver|W|{2}{W}
Act of Aggression|R|{3}{R/P}{R/P}
Act of Authority|W|{1}{W}{W}
Act of Heroism|W|{1}{W}
Act of Treason|R|{2}{R}
Act on Impulse|R|{2}{R}
Active Volcano|R|{R}
Ad Nauseam|B|{3}{B}{B}
Adamant Will|W|{1}{W}
Adamaro, First to Desire|R|{1}{R}{R}
Adanto Vanguard|W|{1}{W}
Adaptive Automaton||{3}
Adaptive Shimmerer||{5}
Adaptive Snapjaw|G|{4}{G}
Adarkar Sentinel||{5}
Adarkar Unicorn|U,W|{1}{W}{W}
Adarkar Valkyrie|W|{4}{W}{W}
Adarkar Wastes|U,W|
Adarkar Windform|U|{4}{U}
Adder-Staff Boggart|R|{1}{R}
Addle|B|{1}{B}
Adeliz, the Cinder Wind|R,U|{1}{U}{R}
Adherent of Hope|W|{1}{W}
Admiral Beckett Brass|B,R,U|{1}{U}{B}{R}
Admiral's Order|U|{1}{U}{U}
Admonition Angel|W|{3}{W}{W}{W}
Adorable Kitten|W|{W}
Adorned Pouncer|W|{1}{W}
Adriana's Valor|W|
Adriana, Captain of the Guard|R,W|{3}{R}{W}
Adun Oakenshield|B,G,R|{B}{R}{G}
Advance Scout|W|{1}{W}
Advanced Hoverguard|U|{3}{U}
Advanced Stitchwing|U|{3}{U}{U}
Advantageous Proclamation||
Advent of the Wurm|G,W|{1}{G}{G}{W}
Adventure Awaits|G|{1}{G}
Adventurers' Guildhouse||
Adventuring Gear||{1}
Adventurous Impulse|G|{G}
Adverse Conditions|U|{3}{U}
Advice from the Fae|U|{2/U}{2/U}{2/U}
Advocate of the Beast|G|{2}{G}
Aegis Angel|W|{4}{W}{W}
Aegis Automaton|W|{2}
Aegis Turtle|U|{U}
Aegis of Honor|W|{W}
Aegis of the Gods|W|{1}{W}
Aegis of the Heavens|W|{1}{W}
Aegis of the Meek||{3}
Aeolipile||{2}
Aeon Chronicler|U|{3}{U}{U}
Aeon Engine||{5}
Aerathi Berserker|R|{2}{R}{R}{R}
Aerial Assault|W|{2}{W}
Aerial Caravan|U|{4}{U}{U}
Aerial Engineer|U,W|{2}{W}{U}
Aerial Formation|U|{U}
Aerial Guide|U|{2}{U}
Aerial Maneuver|W|{1}{W}
Aerial Modification|W|{4}{W}
Aerial Predation|G|{2}{G}
Aerial Responder|W|{1}{W}{W}
Aerial Toastmaster|W|{3}{W}
Aerial Volley|G|{G}
Aerie Bowmasters|G|{2}{G}{G}
Aerie Mystics|G,U,W|{4}{W}
Aerie Ouphes|G|{4}{G}
Aerie Worshippers|U|{3}{U}
Aeromunculus|G,U|{1}{G}{U}
Aeronaut Admiral|W|{3}{W}
Aeronaut Tinkerer|U|{2}{U}
Aesi, Tyrant of Gyre Strait|G,U|{4}{G}{U}
Aesthetic Consultation|B|{B}
Aesthir Glider||{3}
Aether Adept|U|{1}{U}{U}
Aether Barrier|U|{2}{U}
Aether Burst|U|{1}{U}
Aether Charge|R|{4}{R}
Aether Chaser|R|{1}{R}
Aether Figment|U|{1}{U}
Aether Flash|R|{2}{R}{R}
Aether Gale|U|{3}{U}{U}
Aether Gust|U|{1}{U}
Aether Herder|G|{3}{G}
Aether Hub||
Aether Inspector|W|{3}{W}
Aether Meltdown|U|{1}{U}
Aether Membrane|R|{1}{R}{R}
Aether Mutation|G,U|{3}{G}{U}
Aether Poisoner|B|{1}{B}
Aether Rift|G,R|{1}{R}{G}
Aether Searcher||{7}
Aether Shockwave|W|{3}{W}
Aether Snap|B|{3}{B}{B}
Aether Spellbomb|U|{1}
Aether Sting|R|{3}{R}
Aether Storm|U|{3}{U}
Aether Swooper|U|{1}{U}
Aether Theorist|U|{1}{U}
Aether Tide|U|{X}{U}
Aether Tradewinds|U|{2}{U}
Aether Tunnel|U|{1}{U}
Aether Vial||{1}
Aether Web|G|{1}{G}
Aetherborn Marauder|B|{3}{B}
Aetherflame Wall|R|{1}{R}
Aetherflux Reservoir||{4}
Aethergeode Miner|W|{1}{W}
Aetherize|U|{3}{U}
Aetherling|U|{4}{U}{U}
Aethermage's Touch|U,W|{2}{W}{U}
Aetherplasm|U|{2}{U}{U}
Aethershield Artificer|W|{3}{W}
Aethersnatch|U|{4}{U}{U}
Aethersnipe|U|{5}{U}
Aethersphere Harvester||{3}
Aetherspouts|U|{3}{U}{U}
Aethersquall Ancient|U|{5}{U}{U}
Aetherstorm Roc|W|{2}{W}{W}
Aetherstream Leopard|G|{2}{G}
Aethertide Whale|U|{4}{U}{U}
Aethertorch Renegade|R|{2}{R}
Aethertow|U,W|{3}{W/U}
Aetherwind Basker|G|{4}{G}{G}{G}
Aetherworks Marvel||{4}
Affa Guard Hound|W|{2}{W}
Affa Protector|W|{2}{W}
Affectionate Indrik|G|{5}{G}
Afflict|B|{2}{B}
Afflicted Deserter // Werewolf Ransacker|R|{3}{R}
Afiya Grove|G|{1}{G}
Afterlife|W|{2}{W}
Aftershock|R|{2}{R}{R}
Agadeem Occultist|B|{2}{B}
Agadeem's Awakening // Agadeem, the Undercrypt|B|
Ageless Entity|G|{3}{G}{G}
Ageless Sentinels|W|{3}{W}
Agent of Acquisitions||{2}
Agent of Erebos|B|{3}{B}
Agent of Horizons|G,U|{2}{G}
Agent of Masks|B,W|{3}{W}{B}
Agent of Shauku|B|{1}{B}
Agent of Stromgald|B,R|{R}
Agent of Treachery|U|{5}{U}{U}
Agent of the Fates|B|{1}{B}{B}
Aggravate|R|{3}{R}{R}
Aggravated Assault|R|{2}{R}
Aggression|R|{2}{R}
Aggressive Crag|R,W|
Aggressive Instinct|G|{1}{G}
Aggressive Mammoth|G|{3}{G}{G}{G}
Aggressive Mining|R|{3}{R}
Aggressive Urge|G|{1}{G}
Agility|R|{1}{R}
Agitator Ant|R|{2}{R}
Agonizing Demise|B,R|{3}{B}
Agonizing Memories|B|{2}{B}{B}
Agonizing Remorse|B|{1}{B}
Agonizing Syphon|B|{3}{B}
Agony Warp|B,U|{U}{B}
Agoraphobia|U|{1}{U}
Agrus Kos, Wojek Veteran|R,W|{3}{R}{W}
Agyrem||
Ahn-Crop Champion|G,W|{2}{G}{W}
Ahn-Crop Crasher|R|{2}{R}
Ahn-Crop Invader|R|{2}{R}
Aid from the Cowl|G|{3}{G}{G}
Aid the Fallen|B|{1}{B}
Aim High|G|{1}{G}
Ainok Artillerist|G|{2}{G}
Ainok Bond-Kin|W|{1}{W}
Ainok Guide|G|{1}{G}
Ainok Survivalist|G|{1}{G}
Ainok Tracker|R|{5}{R}
Air Bladder|U|{U}
Air Elemental|U|{3}{U}{U}
Air Servant|U|{4}{U}
Airborne Aid|U|{3}{U}
Airdrop Aeronauts|W|{3}{W}{W}
Airdrop Condor|R|{4}{R}
Aisling Leprechaun|G|{G}
Ajani Goldmane|W|{2}{W}{W}
Ajani Steadfast|W|{3}{W}
Ajani Unyielding|G,W|{4}{G}{W}
Ajani Vengeant|R,W|{2}{R}{W}
Ajani's Aid|G,W|{2}{G}{W}
Ajani's Chosen|W|{2}{W}{W}
Ajani's Comrade|G|{1}{G}
Ajani's Influence|W|{2}{W}{W}
Ajani's Last Stand|W|{2}{W}{W}
Ajani's Mantra|W|{1}{W}
Ajani's Presence|W|{W}
Ajani's Pridemate|W|{1}{W}
Ajani's Sunstriker|W|{W}{W}
Ajani's Welcome|W|{W}
Ajani, Adversary of Tyrants|W|{2}{W}{W}
Ajani, Caller of the Pride|W|{1}{W}{W}
Ajani, Inspiring Leader|W|{4}{W}{W}
Ajani, Mentor of Heroes|G,W|{3}{G}{W}
Ajani, Strength of the Pride|W|{2}{W}{W}
Ajani, Valiant Protector|G,W|{4}{G}{W}
Ajani, Wise Counselor|W|{3}{W}{W}
Ajani, the Greathearted|G,W|{2}{G}{W}
Akim, the Soaring Wind|R,U,W|{2}{U}{R}{W}
Akiri, Fearless Voyager|R,W|{1}{R}{W}
Akiri, Line-Slinger|R,W|{R}{W}
Akki Avalanchers|R|{R}
Akki Blizzard-Herder|R|{1}{R}
Akki Coalflinger|R|{1}{R}{R}
Akki Drillmaster|R|{2}{R}
Akki Lavarunner // Tok-Tok, Volcano Born|R|{3}{R}
Akki Raider|R|{1}{R}
Akki Rockspeaker|R|{1}{R}
Akki Underling|R|{1}{R}
Akki Underminer|R|{3}{R}
Akoum||
Akoum Battlesinger|R|{1}{R}
Akoum Boulderfoot|R|{4}{R}{R}
Akoum Firebird|R|{2}{R}{R}
Akoum Flameseeker|R|{2}{R}
Akoum Hellhound|R|{R}
Akoum Hellkite|R|{4}{R}{R}
Akoum Refuge|B,R|
Akoum Stonewaker|R|{1}{R}
Akoum Warrior // Akoum Teeth|R|{5}{R}
Akrasan Squire|W|{W}
Akroan Conscriptor|R|{4}{R}
Akroan Crusader|R|{R}
Akroan Hoplite|R,W|{R}{W}
Akroan Horse||{4}
Akroan Jailer|W|{W}
Akroan Line Breaker|R|{2}{R}
Akroan Mastiff|W|{3}{W}
Akroan Phalanx|R,W|{3}{W}
Akroan Sergeant|R|{2}{R}
Akroan Skyguard|W|{1}{W}
Akroma's Blessing|W|{2}{W}
Akroma's Devoted|W|{3}{W}
Akroma's Memorial||{7}
Akroma's Vengeance|W|{4}{W}{W}
Akroma's Will|W|{3}{W}
Akroma, Angel of Fury|R|{5}{R}{R}{R}
Akroma, Angel of Wrath|W|{5}{W}{W}{W}
Akroma, Angel of Wrath Avatar||
Akroma, Vision of Ixidor|W|{5}{W}{W}
Akron Legionnaire|W|{6}{W}{W}
Aku Djinn|B|{3}{B}{B}
Akuta, Born of Ash|B|{2}{B}{B}
Al-abara's Carpet||{5}
Alabaster Dragon|W|{4}{W}{W}
Alabaster Kirin|W|{3}{W}
Alabaster Leech|W|{W}
Alabaster Mage|W|{1}{W}
Alabaster Potion|W|{X}{W}{W}
Alabaster Wall|W|{2}{W}
Alaborn Cavalier|W|{2}{W}{W}
Alaborn Grenadier|W|{W}{W}
Alaborn Musketeer|W|{1}{W}
Alaborn Trooper|W|{2}{W}
Alaborn Veteran|W|{2}{W}
Alaborn Zealot|W|{W}
Aladdin|R|{2}{R}{R}
Aladdin's Lamp||{10}
Aladdin's Ring||{8}
Alarum|W|{1}{W}
Albino Troll|G|{1}{G}
Alchemist's Apprentice|U|{1}{U}
Alchemist's Gift|B|{B}
Alchemist's Greeting|R|{4}{R}
Alchemist's Refuge|G,U|
Alchemist's Vial||{2}
Alchor's Tomb||{4}
Aleatory|R|{1}{R}
Alela, Artful Provocateur|B,U,W|{1}{W}{U}{B}
Alena, Kessig Trapper|R|{4}{R}
Alert Heedbonder|G,W|{1}{G/W}{G/W}
Alert Shu Infantry|W|{2}{W}
Alesha's Vanguard|B|{3}{B}
Alesha, Who Smiles at Death|B,R,W|{2}{R}
Alexander Clamilton|R,U|{2}{U}
Alexi's Cloak|U|{1}{U}
Alexi, Zephyr Mage|U|{3}{U}{U}
Algae Gharial|G|{3}{G}
Alhammarret's Archive||{5}
Alhammarret, High Arbiter|U|{5}{U}{U}
Alharu, Solemn Ritualist|W|{4}{W}
Ali Baba|R|{R}
Ali from Cairo|R|{2}{R}{R}
Aliban's Tower|R|{1}{R}
Aligned Hedron Network||{4}
Alirios, Enraptured|U|{2}{U}
Alive // Well|G,W|{3}{G}
All Hallow's Eve|B|{2}{B}{B}
All Is Dust||{7}
All Shall Smolder in My Wake||
All Suns' Dawn|G|{4}{G}
All That Glitters|W|{1}{W}
All in Good Time||
Allay|W|{1}{W}
Alley Evasion|W|{W}
Alley Grifters|B|{1}{B}{B}
Alley Strangler|B|{2}{B}
Alliance of Arms|W|{W}
Allied Assault|W|{2}{W}
Allied Reinforcements|W|{3}{W}
Allied Strategies|U|{4}{U}
Allosaurus Rider|G|{5}{G}{G}
Allosaurus Shepherd|G|{G}
Alloy Golem||{6}
Alloy Myr||{3}
Allure of the Unknown|B,R|{3}{B}{R}
Alluring Scent|G|{1}{G}{G}
Alluring Siren|U|{1}{U}
Ally Encampment||
Almighty Brushwagg|G|{G}
Alms|W|{W}
Alms Beast|B,W|{2}{W}{B}
Alms Collector|W|{3}{W}
Alms of the Vein|B|{2}{B}
Alpha Authority|G|{1}{G}
Alpha Brawl|R|{6}{R}{R}
Alpha Kavu|G|{2}{G}
Alpha Myr||{2}
Alpha Status|G|{2}{G}
Alpha Tyrranax|G|{4}{G}{G}
Alpine Grizzly|G|{2}{G}
Alpine Guide|R|{2}{R}
Alpine Houndmaster|R,W|{R}{W}
Alpine Meadow|R,W|
Alpine Moon|R|{R}
Alpine Watchdog|W|{1}{W}
Alrund's Epiphany|U|{5}{U}{U}
Alrund, God of the Cosmos // Hakka, Whispering Raven|U|{3}{U}{U}
Alseid of Life's Bounty|W|{W}
Altac Bloodseeker|R|{1}{R}
Altar Golem||{7}
Altar of Bone|G,W|{G}{W}
Altar of Dementia||{2}
Altar of Mogis||
Altar of Shadows|B|{7}
Altar of the Brood||{1}
Altar of the Lost||{3}
Altar of the Pantheon||{3}
Altar's Light|W|{2}{W}{W}
Altar's Reap|B|{1}{B}
Alter Reality|U|{1}{U}
Altered Ego|G,U|{X}{2}{G}{U}
Aluren|G|{2}{G}{G}
Always Watching|W|{1}{W}{W}
Amaranthine Wall||{4}
Amareth, the Lustrous|G,U,W|{3}{G}{W}{U}
Amass the Components|U|{3}{U}
Amateur Auteur|W|{1}{W}
Ambassador Laquatus|U|{1}{U}{U}
Ambassador Oak|G|{3}{G}
Amber Prison||{4}
Ambiguity|U|{2}{U}{U}
Ambition's Cost|B|{3}{B}
Ambitious Aetherborn|B|{4}{B}
Ambuscade|G|{2}{G}
Ambuscade Shaman|B|{2}{B}
Ambush|R|{3}{R}
Ambush Commander|G|{3}{G}{G}
Ambush Krotiq|G|{5}{G}
Ambush Party|R|{4}{R}
Ambush Viper|G|{1}{G}
Aminatou's Augury|U|{6}{U}{U}
Aminatou, the Fateshifter|B,U,W|{W}{U}{B}
Ammit Eternal|B|{2}{B}
Amnesia|U|{3}{U}{U}{U}
Amoeboid Changeling|U|{1}{U}
Amok|R|{1}{R}
Amorphous Axe||{2}
Amphibious Kavu|G|{2}{G}
Amphin Cutthroat|U|{3}{U}
Amphin Mutineer|U|{3}{U}
Amphin Pathmage|U|{3}{U}
Amplifire|R|{2}{R}{R}
Ampryn Tactician|W|{2}{W}{W}
Amrou Kithkin|W|{W}{W}
Amrou Scout|W|{1}{W}
Amrou Seekers|W|{2}{W}
Amugaba|U|{5}{U}{U}
Amulet of Kroog||{2}
Amulet of Quoz||{6}
Amulet of Safekeeping||{2}
Amulet of Unmaking||{5}
Amulet of Vigor||{1}
An-Havva Constable|G|{1}{G}{G}
An-Havva Inn|G|{1}{G}{G}
An-Havva Township|G,R,W|
An-Zerrin Ruins|R|{2}{R}{R}
Ana Battlemage|B,G,U|{2}{G}
Ana Disciple|B,G,U|{G}
Ana Sanctuary|G|{2}{G}
Anaba Ancestor|R|{1}{R}
Anaba Bodyguard|R|{3}{R}
Anaba Shaman|R|{3}{R}
Anaba Spirit Crafter|R|{2}{R}{R}
Anaconda|G|{3}{G}
Anafenza, Kin-Tree Spirit|W|{W}{W}
Anafenza, the Foremost|B,G,W|{W}{B}{G}
Anara, Wolvid Familiar|G|{3}{G}
Anarchist|R|{4}{R}
Anarchy|R|{2}{R}{R}
Anathemancer|B,R|{1}{B}{R}
Anavolver|B,G,U|{3}{G}
Anax and Cymede|R,W|{1}{R}{W}
Anax, Hardened in the Forge|R|{1}{R}{R}
Ancestor Dragon|W|{4}{W}{W}
Ancestor's Chosen|W|{5}{W}{W}
Ancestor's Prophet|W|{4}{W}
Ancestral Blade|W|{1}{W}
Ancestral Knowledge|U|{1}{U}
Ancestral Mask|G|{2}{G}
Ancestral Memories|U|{2}{U}{U}{U}
Ancestral Recall|U|{U}
Ancestral Statue||{4}
Ancestral Tribute|W|{5}{W}{W}
Ancestral Vengeance|B|{B}{B}
Ancestral Vision|U|
Anchor to the Aether|U|{2}{U}
Ancient Amphitheater|R,W|
Ancient Animus|G|{1}{G}
Ancient Brontodon|G|{6}{G}{G}
Ancient Carp|U|{4}{U}
Ancient Crab|U|{1}{U}{U}
Ancient Craving|B|{3}{B}
Ancient Den|W|
Ancient Excavation|B,U|{2}{U}{B}
Ancient Greenwarden|G|{4}{G}{G}
Ancient Grudge|G,R|{1}{R}
Ancient Hellkite|R|{4}{R}{R}{R}
Ancient Hydra|R|{4}{R}
Ancient Kavu|R|{3}{R}
Ancient Ooze|G|{5}{G}{G}
Ancient Runes|R|{2}{R}
Ancient Silverback|G|{4}{G}{G}
Ancient Spider|G,W|{2}{G}{W}
Ancient Spring|B,U,W|
Ancient Stirrings|G|{G}
Ancient Stone Idol||{10}
Ancient Tomb||
Ancient Ziggurat||
Andradite Leech|B|{2}{B}
Angel of Condemnation|W|{2}{W}{W}
Angel of Deliverance|W|{6}{W}{W}
Angel of Despair|B,W|{3}{W}{W}{B}{B}
Angel of Destiny|W|{3}{W}{W}
Angel of Finality|W|{3}{W}
Angel of Flight Alabaster|W|{4}{W}
Angel of Fury|W|{4}{W}{W}
Angel of Glory's Rise|W|{5}{W}{W}
Angel of Grace|W|{3}{W}{W}
Angel of Invention|W|{3}{W}{W}
Angel of Jubilation|W|{1}{W}{W}{W}
Angel of Light|W|{4}{W}
Angel of Mercy|W|{4}{W}
Angel of Renewal|W|{5}{W}
Angel of Retribution|W|{6}{W}
Angel of Salvation|W|{6}{W}{W}
Angel of Sanctions|W|{3}{W}{W}
Angel of Serenity|W|{4}{W}{W}{W}
Angel of Vitality|W|{2}{W}
Angel of the Dawn|W|{4}{W}
Angel of the Dire Hour|W|{5}{W}{W}
Angel of the God-Pharaoh|W|{4}{W}{W}
Angel's Feather||{2}
Angel's Grace|W|{W}
Angel's Herald|W|{W}
Angel's Mercy|W|{2}{W}{W}
Angel's Tomb||{3}
Angel's Trumpet||{3}
Angelfire Crusader|R,W|{3}{W}
Angelheart Protector|W|{2}{W}
Angelheart Vial||{5}
Angelic Accord|W|{3}{W}
Angelic Arbiter|W|{5}{W}{W}
Angelic Armaments||{3}
Angelic Ascension|W|{1}{W}
Angelic Benediction|W|{3}{W}
Angelic Blessing|W|{2}{W}
Angelic Captain|R,W|{3}{R}{W}
Angelic Chorus|W|{3}{W}{W}
Angelic Curator|W|{1}{W}
Angelic Destiny|W|{2}{W}{W}
Angelic Edict|W|{4}{W}
Angelic Exaltation|W|{3}{W}
Angelic Favor|W|{3}{W}
Angelic Field Marshal|W|{2}{W}{W}
Angelic Gift|W|{1}{W}
Angelic Guardian|W|{4}{W}{W}
Angelic Overseer|W|{3}{W}{W}
Angelic Page|W|{1}{W}
Angelic Protector|W|{3}{W}
Angelic Purge|W|{2}{W}
Angelic Renewal|W|{1}{W}
Angelic Reward|W|{3}{W}{W}
Angelic Rocket||{8}
Angelic Shield|U,W|{W}{U}
Angelic Skirmisher|W|{4}{W}{W}
Angelic Voices|W|{2}{W}{W}
Angelic Wall|W|{1}{W}
Angelsong|W|{1}{W}
Anger|R|{3}{R}
Anger of the Gods|R|{1}{R}{R}
Angler Drake|U|{4}{U}{U}
Angler Turtle|U|{5}{U}{U}
Angrath's Ambusher|B|{2}{B}
Angrath's Fury|B,R|{3}{B}{R}
Angrath's Marauders|R|{5}{R}{R}
Angrath's Rampage|B,R|{B}{R}
Angrath, Captain of Chaos|B,R|{2}{B/R}{B/R}
Angrath, Minotaur Pirate|B,R|{4}{B}{R}
Angrath, the Flame-Chained|B,R|{3}{B}{R}
Angry Mob|W|{2}{W}{W}
Anguished Unmaking|B,W|{1}{W}{B}
Angus Mackenzie|G,U,W|{G}{W}{U}
Animal Boneyard|W|{2}{W}
Animal Magnetism|G|{4}{G}
Animal Sanctuary||
Animar, Soul of Elements|G,R,U|{G}{U}{R}
Animate Artifact|U|{3}{U}
Animate Dead|B|{1}{B}
Animate Land|G|{G}
Animate Library|U|{4}{U}{U}
Animate Spell|U|{U}
Animate Wall|W|{W}
Animating Faerie // Bring to Life|U|{2}{U}
Animation Module||{1}
Animist's Awakening|G|{X}{G}
Animus of Predation|G|{4}{G}
Anje Falkenrath|B,R|{1}{B}{R}
Anje's Ravager|R|{2}{R}
Ankh of Mishra||{2}
Ankle Shanker|B,R,W|{2}{R}{W}{B}
Annex|U|{2}{U}{U}
Annihilate|B|{3}{B}{B}
Annihilating Fire|R|{1}{R}{R}
Annoyed Altisaur|G|{5}{G}{G}
Annul|U|{U}
Anodet Lurker||{5}
Anoint|W|{W}
Anointed Chorister|W|{W}
Anointed Deacon|B|{4}{B}
Anointed Procession|W|{3}{W}
Anointer Priest|W|{1}{W}
Anointer of Champions|W|{W}
Anointer of Valor|W|{5}{W}
Anowon, the Ruin Sage|B|{3}{B}{B}
Anowon, the Ruin Thief|B,U|{2}{U}{B}
Answered Prayers|W|{1}{W}{W}
Ant Queen|G|{3}{G}{G}
Antagonism|R|{3}{R}
Anthem of Rakdos|B,R|{2}{B}{R}{R}
Anthousa, Setessan Hero|G|{3}{G}{G}
Anthroplasm|U|{2}{U}{U}
Anti-Magic Aura|U|{2}{U}
Anticipate|U|{1}{U}
Anticognition|U|{1}{U}
Antler Skulkin||{5}
Anurid Barkripper|G|{1}{G}{G}
Anurid Brushhopper|G,W|{1}{G}{W}
Anurid Murkdiver|B|{4}{B}{B}
Anurid Scavenger|G|{2}{G}
Anurid Swarmsnapper|G|{2}{G}
Anvil of Bogardan||{2}
Anvilwrought Raptor||{4}
Anya, Merciless Angel|R,W|{3}{R}{W}
Apathy|U|{U}
Apes of Rath|G|{2}{G}{G}
Apex Altisaur|G|{7}{G}{G}
Apex Devastator|G|{8}{G}{G}
Apex Hawks|W|{2}{W}
Apex of Power|R|{7}{R}{R}{R}
Aphemia, the Cacophony|B|{1}{B}
Aphetto Alchemist|U|{1}{U}
Aphetto Dredging|B|{3}{B}
Aphetto Exterminator|B|{2}{B}
Aphetto Grifter|U|{2}{U}
Aphetto Runecaster|U|{3}{U}
Aphetto Vulture|B|{4}{B}{B}
Aphotic Wisps|B|{B}
Apocalypse|R|{2}{R}{R}{R}
Apocalypse Chime||{2}
Apocalypse Demon|B|{4}{B}{B}
Apocalypse Hydra|G,R|{X}{R}{G}
Apostle of Purifying Light|W|{1}{W}
Apostle's Blessing|W|{1}{W/P}
Apothecary Geist|W|{3}{W}
Apothecary Initiate|W|{W}
Appeal // Authority|G,W|{G}
Appetite for Brains|B|{B}
Appetite for the Unnatural|G|{2}{G}
Applied Aeronautics||
Applied Biomancy|G,U|{G}{U}
Apprentice Necromancer|B|{1}{B}
Apprentice Sorcerer|U|{2}{U}
Apprentice Wizard|U|{1}{U}{U}
Approach My Molten Realm||
Approach of the Second Sun|W|{6}{W}
Aquamoeba|U|{1}{U}
Aquamorph Entity|U|{2}{U}{U}
Aquastrand Spider|G|{1}{G}
Aquatic Incursion|U|{3}{U}
Aqueous Form|U|{U}
Aquitect's Will|U|{U}
Aquus Steed|U|{3}{U}
Araba Mothrider|W|{1}{W}
Arachnogenesis|G|{2}{G}
Arachnoid||{6}
Arachnus Spinner|G|{5}{G}
Arachnus Web|G|{2}{G}
Aradara Express||{5}
Arahbo, Roar of the World|G,W|{3}{G}{W}
Arashi, the Sky Asunder|G|{3}{G}{G}
Arashin Cleric|W|{1}{W}
Arashin Foremost|W|{1}{W}{W}
Arashin Sovereign|G,W|{5}{G}{W}
Arashin War Beast|G|{5}{G}{G}
Arasta of the Endless Web|G|{2}{G}{G}
Araumi of the Dead Tide|B,U|{1}{U}{B}
Arbalest Elite|W|{2}{W}{W}
Arbiter of Knollridge|W|{6}{W}
Arbiter of the Ideal|U|{4}{U}{U}
Arbor Armament|G|{G}
Arbor Colossus|G|{2}{G}{G}{G}
Arbor Elf|G|{G}
Arborback Stomper|G|{3}{G}{G}
Arboreal Grazer|G|{G}
Arboretum Elemental|G|{7}{G}{G}
