Abomination of Llanowar
Aboshan, Cephalid Emperor
Brudiclad, Telchor Engineer
Bruna, Light of Alabaster
Bruna, the Fading Light // Brisela, Voice of Nightmares
Bruse Tarl, Boorish Herder
Bruvac the Grandiloquent
Budoka Gardener // Dokai, Weaver of Life
Budoka Pupil // Ichiga, Who Topples Oaks
Bushi Tenderfoot // Kenzo the Hardhearted
Cabal Patriarch
Callaphe, Beloved of the Sea
Callow Jushi // Jaraku the Interloper
Cao Cao, Lord of Wei
Cao Ren, Wei Commander
Captain Lannery Storm
Captain Sisay
Captain Vargus Wrath
Cazur, Ruthless Stalker
Celestial Kirin
Chainer, Dementia Master
Chainer, Nightmare Adept
Chandler
Chandra, Fire of Kaladesh // Chandra, Roaring Flame
Charix, the Raging Isle
Chevill, Bane of Monsters
Child of Alara
Chisei, Heart of Oceans
Cho-Manno, Revolutionary
Chorus of the Conclave
Chromium
Chromium, the Mutable
Chulane, Teller of Tales
Circu, Dimir Lobotomist
Cloudhoof Kirin
Colfenor, the Last Yew
Commander Eesha
Commander Greven il-Vec
Cromat
Crosis, the Purger
Crovax the Cursed
Crovax, Ascendant Hero
Cunning Bandit // Azamuki, Treachery Incarnate
Daghatar the Adamant
Dakkon Blackblade
Dalakos, Crafter of Wonders
Damia, Sage of Stone
Danitha Capashen, Paragon
Dargo, the Shipwrecker
Darien, King of Kjeldor
Darigaaz Reincarnated
Darigaaz, the Igniter
Daryl, Hunter of Walkers
Daughter of Autumn
Daxos of Meletis
Daxos the Returned
Daxos, Blessed by the Sun
Demonlord Belzenlok
Depala, Pilot Exemplar
Derevi, Empyrial Tactician
Diaochan, Artful Beauty
Djeru, With Eyes Open
Dong Zhou, the Tyrant
Doran, the Siege Tower
Dosan the Falling Leaf
Dr. Julius Jumblemorph
Dragonlord Atarka
Dragonlord Dromoka
Dragonlord Kolaghan
Dragonlord Ojutai
Dragonlord Silumgar
Drakuseth, Maw of Flames
Dralnu, Lich Lord
Drana, Kalastria Bloodchief
Drana, Liberator of Malakir
Drana, the Last Bloodchief
Dromar, the Banisher
Dromoka, the Eternal
Dwynen, Gilt-Leaf Daen
Edgar Markov
Edric, Spymaster of Trest
Eight-and-a-Half-Tails
Eladamri, Lord of Leaves
Elbrus, the Binding Blade // Withengar Unbound
Elenda, the Dusk Rose
Elesh Norn, Grand Cenobite
Eligeth, Crossroads Augur
Elsha of the Infinite
Emiel the Blessed
Emmara Tandris
Emmara, Soul of the Accord
Empress Galina
Emrakul, the Aeons Torn
Emrakul, the Promised End
Emry, Lurker of the Loch
Endrek Sahr, Master Breeder
Ephara, God of the Polis
Erayo, Soratami Ascendant // Erayo's Essence
Erebos, Bleak-Hearted
Erebos, God of the Dead
Eron the Relentless
Ertai, Wizard Adept
Ertai, the Corrupted
Esika, God of the Tree // The Prismatic Bridge
Esior, Wardwing Familiar
Etali, Primal Storm
Etrata, the Silencer
Eutropia the Twice-Favored
Evra, Halcyon Witness
Exava, Rakdos Blood Witch
Experiment Kraj
Ezuri, Claw of Progress
Ezuri, Renegade Leader
Faithful Squire // Kaiso, Memory of Loyalty
Falthis, Shadowcat Familiar
Fblthp, the Lost
Feather, the Redeemed
Feldon of the Third Path
Firesong and Sunspeaker
Firja, Judge of Valor
Frankie Peanuts
Fumiko the Lowblood
Gabriel Angelfire
Gaddock Teeg
Gadrak, the Crown-Scourge
Gadwick, the Wizened
Gahiji, Honored One
Gallia of the Endless Dance
Gallowbraid
Gargos, Vicious Watcher
Garna, the Bloodflame
Garza Zol, Plague Queen
Gavi, Nest Warden
Geist of Saint Traft
General Jarkeld
General Kudro of Drannith
General Tazri
Gerrard Capashen
Gerrard, Weatherlight Hero
Geth, Lord of the Vault
Ghalta, Primal Hunger
Ghave, Guru of Spores
Ghen, Arcanum Weaver
Ghired, Conclave Exile
Ghost Council of Orzhova
Ghost of Ramirez DePietro
Ghoulcaller Gisa
Gilanra, Caller of Wirewood
Gisa and Geralf
Gisela, Blade of Goldnight
Gisela, the Broken Blade // Brisela, Voice of Nightmares
Gishath, Sun's Avatar
Glacian, Powerstone Engineer
Glenn, the Voice of Calm
Glissa Sunseeker
Glissa, the Traitor
Gnostro, Voice of the Crags
God-Eternal Bontu
God-Eternal Kefnet
God-Eternal Oketra
God-Eternal Rhonas
Godo, Bandit Warlord
Golos, Tireless Pilgrim
Gonti, Lord of Luxury
Gor Muldrak, Amphinologist
Goreclaw, Terror of Qal Sisma
Gorm the Great
Gosta Dirk
Grakmaw, Skyclave Ravager
Grand Arbiter Augustin IV
Grand Warlord Radha
Grandmother Sengir
Greel, Mind Raker
Grenzo, Dungeon Warden
Grenzo, Havoc Raiser
Greven, Predator Captain
Grimgrin, Corpse-Born
Grimlock, Dinobot Leader // Grimlock, Ferocious King
Griselbrand
Grismold, the Dreadsower
Grothama, All-Devouring
Grumgully, the Generous
Grunn, the Lonely King
Grusilda, Monster Masher
Guan Yu, Sainted Warrior
Gwafa Hazid, Profiteer
Gwendlyn Di Corci
Gyruda, Doom of Depths
Gyrus, Waker of Corpses
Haakon, Stromgald Scourge
Hakim, Loreweaver
Haktos the Unscarred
Halana, Kessig Ranger
Haldan, Avid Arcanist
Halfdane
Hallar, the Firefletcher
Halvar, God of Battle // Sword of the Realms
Hamza, Guardian of Arashin
Hanna, Ship's Navigator
Hans Eriksson
Hanweir, the Writhing Township
Hapatra, Vizier of Poisons
Hazduhr the Abbot
Hazezon Tamar
Hazoret the Fervent
He Who Hungers
Heartless Hidetsugu
Heidar, Rimewind Master
Heliod, God of the Sun
Heliod, Sun-Crowned
Higure, the Still Wind
Hikari, Twilight Guardian
Hired Muscle // Scarmaker
Hisoka, Minamo Sensei
Hivis of the Scale
Hixus, Prison Warden
Hogaak, Arisen Necropolis
Hokori, Dust Drinker
Homura, Human Ascendant // Homura's Essence
Hope of Ghirapur
Horde of Notions
Horobi, Death's Wail
Hua Tuo, Honored Physician
Huang Zhong, Shu General
Hunding Gjornersen
Hythonia the Cruel
Ib Halfheart, Goblin Tactician
Ich-Tekik, Salvage Splicer
Ihsan's Shade
Iizuka the Ruthless
Ikra Shidiqi, the Usurper
Ilharg, the Raze-Boar
Illuna, Apex of Wishes
Imoti, Celebrant of Bounty
Inalla, Archmage Ritualist
Iname as One
Iname, Death Aspect
Iname, Life Aspect
Infernal Kirin
Inga Rune-Eyes
Initiate of Blood // Goka the Unjust
Ink-Eyes, Servant of Oni
Inniaz, the Gale Force
Intet, the Dreamer
Iona, Shield of Emeria
Irini Sengir
Iroas, God of Victory
Isamaru, Hound of Konda
Isao, Enlightened Bushi
Isareth the Awakener
Ishai, Ojutai Dragonspeaker
Ishi-Ishi, Akki Crackshot
Ishkanah, Grafwidow
Isperia the Inscrutable
Isperia, Supreme Judge
Ith, High Arcanist
Iwamori of the Open Fist
Ixidor, Reality Sculptor
Izoni, Thousand-Eyed
Jace, Vryn's Prodigy // Jace, Telepath Unbound
Jacques le Vert
Jalira, Master Polymorphist
Jalum Grifter
Jarad, Golgari Lich Lord
Jared Carthalion, True Heir
Jareth, Leonine Titan
Jasmine Boreal
Jaya Ballard, Task Mage
Jazal Goldmane
Jedit Ojanen
Jedit Ojanen of Efrava
Jegantha, the Wellspring
Jeleva, Nephalia's Scourge
Jenara, Asura of War
Jerrard of the Closed Fist
Jeska, Warrior Adept
Jhoira of the Ghitu
Jhoira, Weatherlight Captain
Jin-Gitaxias, Core Augur
Jirina Kudro
Jiwari, the Earth Aflame
Jodah, Archmage Eternal
Johan
Johnny, Combo Player
Jolrael, Empress of Beasts
Jolrael, Mwonvuli Recluse
Jor Kadeen, the Prevailer
Jori En, Ruin Diver
Josu Vess, Lich Knight
Joven
Judith, the Scourge Diva
Jugan, the Rising Star
Juri, Master of the Revue
Jushi Apprentice // Tomoya the Revealer
K'rrik, Son of Yawgmoth
Kaalia of the Vast
Kaalia, Zenith Seeker
Kadena, Slinking Sorcerer
Kaervek the Merciless
Kaervek, the Spiteful
Kagemaro, First to Suffer
Kaheera, the Orphanguard
Kaho, Minamo Historian
Kalamax, the Stormsire
Kalemne, Disciple of Iroas
Kalitas, Bloodchief of Ghet
Kalitas, Traitor of Ghet
Kamahl, Fist of Krosa
Kamahl, Heart of Krosa
Kamahl, Pit Fighter
Kambal, Consul of Allocation
Kami of the Crescent Moon
Kangee, Aerie Keeper
Kangee, Sky Warden
Karador, Ghost Chieftain
Karametra, God of Harvests
Kari Zev, Skyship Raider
Karlov of the Ghost Council
Karn, Silver Golem
Karona, False God
Karrthus, Tyrant of Jund
Kaseto, Orochi Archmage
Kasimir the Lone Wolf
Kataki, War's Wage
Kathril, Aspect Warper
Kaysa
Kaza, Roil Chaser
Kazarov, Sengir Pureblood
Kazuul, Tyrant of the Cliffs
Kediss, Emberclaw Familiar
Kefnet the Mindful
Kei Takahashi
Keiga, the Tide Star
Keleth, Sunmane Familiar
Kels, Fight Fixer
Kelsien, the Plague
Kemba, Kha Regent
Kenrith, the Returned King
Kentaro, the Smiling Cat
Keranos, God of Storms
Keruga, the Macrosage
Keskit, the Flesh Sculptor
Kess, Dissident Mage
Kestia, the Cultivator
Kethis, the Hidden Hand
Kharis & The Beholder
Khod, Etlan Shiis Envoy
Khorvath Brightflame
Kiki-Jiki, Mirror Breaker
Kiku, Night's Flower
King Macar, the Gold-Cursed
Kinnan, Bonder Prodigy
Kira, Great Glass-Spinner
Kitsune Mystic // Autumn-Tail, Kitsune Sage
Kiyomaro, First to Stand
Klothys, God of Destiny
Kodama of the Center Tree
Kodama of the East Tree
Kodama of the North Tree
Kodama of the South Tree
Kogla, the Titan Ape
Kokusho, the Evening Star
Kolaghan, the Storm's Fury
Koll, the Forgemaster
Kolvori, God of Kinship // The Ringheart Crest
Koma, Cosmos Serpent
Konda, Lord of Eiganjo
Kongming, "Sleeping Dragon"
Kopala, Warden of Waves
Korlash, Heir to Blackblade
Korvold, Fae-Cursed King
Kothophed, Soul Hoarder
Kozilek, Butcher of Truth
Kozilek, the Great Distortion
Krark, the Thumbless
Kraum, Ludevic's Opus
Krav, the Unredeemed
Krenko, Mob Boss
Krenko, Tin Street Kingpin
Kresh the Bloodbraided
Krond the Dawn-Clad
Kroxa, Titan of Death's Hunger
Kruphix, God of Horizons
Kumano, Master Yamabushi
Kumena, Tyrant of Orazca
Kunoros, Hound of Athreos
Kuon, Ogre Ascendant // Kuon's Essence
Kurkesh, Onakke Ancient
Kuro, Pitlord
Kwain, Itinerant Meddler
Kwende, Pride of Femeref
Kydele, Chosen of Kruphix
Kykar, Wind's Fury
Kynaios and Tiro of Meletis
Kyoki, Sanity's Eclipse
Kytheon, Hero of Akros // Gideon, Battle-Forged
Lady Caleria
Lady Evangela
Lady Orca
Lady Sun
Lady Zhurong, Warrior Queen
Lathiel, the Bounteous Dawn
Lathliss, Dragon Queen
Lathril, Blade of the Elves
Latulla, Keldon Overseer
Lavinia of the Tenth
Lavinia, Azorius Renegade
Lazav, Dimir Mastermind
Lazav, the Multifarious
Lena, Selfless Champion
Leovold, Emissary of Trest
Licia, Sanguine Tribune
Liesa, Shroud of Dusk
Lieutenant Kirtar
Liliana, Heretical Healer // Liliana, Defiant Necromancer
Lim-Dûl the Necromancer
Lin Sivvi, Defiant Hero
Linden, the Steadfast Queen
Linessa, Zephyr Mage
Linvala, Keeper of Silence
Linvala, Shield of Sea Gate
Linvala, the Preserver
Liu Bei, Lord of Shu
Livio, Oathsworn Sentinel
Livonya Silone
Llawan, Cephalid Empress
Lord Magnus
Lord of Tresserhorn
Lorthos, the Tidemaker
Louvaq, the Aberrant
Lovisa Coldeyes
Lu Bu, Master-at-Arms
Lu Meng, Wu General
Lu Su, Wu Advisor
Lu Xun, Scholar General
Ludevic, Necro-Alchemist
Lurrus of the Dream-Den
Lutri, the Spellchaser
Lyra Dawnbringer
Lyzolda, the Blood Witch
M'Odo, the Gnarled Oracle
Ma Chao, Western Warrior
Maelstrom Wanderer
Maga, Traitor to Mortals
Magda, Brazen Outlaw
Mageta the Lion
Mairsil, the Pretender
Major Teroh
Malcolm, Keen-Eyed Navigator
Malfegor
Mangara of Corondor
Mangara, the Diplomat
Mannichi, the Fevered Dream
Maralen of the Mornsong
Marath, Will of the Wild
Maraxus of Keld
Marchesa, the Black Rose
Marhault Elsdragon
Marisi, Breaker of the Coil
Marrow-Gnawer
Marwyn, the Nurturer
Mary O'Kill
Masako the Humorless
Massacre Girl
Masumaro, First to Live
Mathas, Fiend Seeker
Mavren Fein, Dusk Apostle
Mayael the Anima
Mazirek, Kraul Death Priest
Medomai the Ageless
Melek, Izzet Paragon
Melira, Sylvok Outcast
Meloku the Clouded Mirror
Memnarch
Meng Huo, Barbarian King
Meren of Clan Nel Toth
Merieke Ri Berit
Miara, Thorn of the Glade
Michiko Konda, Truth Seeker
Michonne, Ruthless Survivor
Mikaeus, the Lunarch
Mikaeus, the Unhallowed
Mina and Denn, Wildborn
Mirko Vosk, Mind Drinker
Mirri the Cursed
Mirri, Cat Warrior
Mirri, Weatherlight Duelist
Mishra, Artificer Prodigy
Mistform Ultimus
Mizzix of the Izmagnus
Mogis, God of Slaughter
Molimo, Maro-Sorcerer
Momir Vig, Simic Visionary
Moraug, Fury of Akoum
Morinfen
Morophon, the Boundless
Mowu, Loyal Companion
Muldrotha, the Gravetide
Multani, Maro-Sorcerer
Multani, Yavimaya's Avatar
Munda, Ambush Leader
Muxus, Goblin Grandee
Muzzio, Visionary Architect
Myojin of Cleansing Fire
Myojin of Infinite Rage
Myojin of Life's Web
Myojin of Night's Reach
Myojin of Seeing Winds
Márton Stromgald
Naban, Dean of Iteration
Nadier, Agent of the Duskenel
Nagao, Bound by Honor
Najeela, the Blade-Blossom
Narset, Enlightened Master
Naru Meha, Master Wizard
Nath of the Gilt-Leaf
Nazahn, Revered Bladesmith
Nebuchadnezzar
Nefarox, Overlord of Grixis
Negan, the Cold-Blooded
Neheb, Dreadhorde Champion
Neheb, the Eternal
Neheb, the Worthy
Nekusar, the Mindrazer
Nemata, Grove Guardian
Nethroi, Apex of Death
Nevinyrral, Urborg Tyrant
Neyith of the Dire Hunt
Nezahal, Primal Tide
Nezumi Graverobber // Nighteyes the Desecrator
Nezumi Shortfang // Stabwhisker the Odious
Niambi, Esteemed Speaker
Niambi, Faithful Healer
Nicol Bolas
Nicol Bolas, the Ravager // Nicol Bolas, the Arisen
Nightmare Moon // Princess Luna
Nikara, Lair Scavenger
Nikya of the Old Ways
Nin, the Pain Artist
Nira, Hellkite Duelist
Nissa, Vastwood Seer // Nissa, Sage Animist
Niv-Mizzet Reborn
Niv-Mizzet, Dracogenius
Niv-Mizzet, Parun
Niv-Mizzet, the Firemind
Norin the Wary
Noyan Dar, Roil Shaper
Numa, Joraga Chieftain
Numot, the Devastator
Nylea, God of the Hunt
Nylea, Keen-Eyed
Nymris, Oona's Trickster
O-Kagachi, Vengeful Kami
Ob Nixilis, Unshackled
Ob Nixilis, the Fallen
Obeka, Brute Chronologist
Obosh, the Preypiercer
Obuun, Mul Daya Ancestor
Obzedat, Ghost Council
Odric, Lunarch Marshal
Odric, Master Tactician
Ojutai, Soul of Winter
Okaun, Eye of Chaos
Oketra the True
Ol' Buzzbark
Olivia Voldaren
Olivia, Mobilized for War
Oloro, Ageless Ascetic
Omnath, Locus of Creation
Omnath, Locus of Mana
Omnath, Locus of Rage
Omnath, Locus of the Roil
Oona, Queen of the Fae
Opal-Eye, Konda's Yojimbo
Orah, Skyclave Hierophant
Orim, Samite Healer
Oriss, Samite Guardian
Ormos, Archive Keeper
Orochi Eggwatcher // Shidako, Broodmistress
Oros, the Avenger
Otrimi, the Ever-Playful
Oviya Pashiri, Sage Lifecrafter
Oyobi, Who Split the Heavens
Padeem, Consul of Innovation
Pako, Arcane Retriever
Palladia-Mors
Palladia-Mors, the Ruiner
Pang Tong, "Young Phoenix"
Pashalik Mons
Patron of the Akki
Patron of the Kitsune
Patron of the Moon
Patron of the Nezumi
Patron of the Orochi
Pavel Maliki
Phage the Untouchable
Pharika, God of Affliction
Phelddagrif
Phenax, God of Deception
Phoebe, Head of S.N.E.A.K.
Phylath, World Sculptor
Pia Nalaar
Pia and Kiran Nalaar
Pianna, Nomad Captain
Pippa, Duchess of Dice
Pir, Imaginative Rascal
Polukranos, Unchained
Polukranos, World Eater
Pramikon, Sky Rampart
Prava of the Steel Legion
Prime Speaker Vannifar
Prime Speaker Zegana
Princess Lucrezia
Princess Twilight Sparkle
Progenitus
Prossh, Skyraider of Kher
Purphoros, Bronze-Blooded
Purphoros, God of the Forge
Purraj of Urborg
Queen Marchesa
Questing Beast
Radha, Heart of Keld
Radha, Heir to Keld
Radiant, Archangel
Radiant, Serra Archangel
Raff Capashen, Ship's Mage
Rafiq of the Many
Ragnar
Rakdos the Defiler
Rakdos, Lord of Riots
Rakdos, the Showstopper
Rakka Mar
Raksha Golden Cub
Ramirez DePietro
Ramos, Dragon Engine
Ramses Overdark
Ranar the Ever-Watchful
Rankle, Master of Pranks
Rarity
Rashida Scalebane
Rashka the Slayer
Rashmi, Eternities Crafter
Rasputin Dreamweaver
Ravos, Soultender
Rayami, First of the Fallen
Rayne, Academy Chancellor
Razaketh, the Foulblooded
Razia, Boros Archangel
Reaper King
Rebbec, Architect of Ascension
Regna, the Redeemer
Reki, the History of Kamigawa
Renata, Called to the Hunt
Reveka, Wizard Savant
Reya Dawnbringer
Reyav, Master Smith
Reyhan, Last of the Abzan
Rhonas the Indomitable
Rhys the Exiled
Rhys the Redeemed
Richard Garfield, Ph.D.
Rick, Steadfast Leader
Rielle, the Everwise
Rienne, Angel of Rebirth
Riku of Two Reflections
Rin and Seri, Inseparable
Rishkar, Peema Renegade
Rith, the Awakener
Riven Turnbull
Roalesk, Apex Hybrid
Rofellos, Llanowar Emissary
Rograkh, Son of Rohgahh
Rohgahh of Kher Keep
Rona, Disciple of Gix
Roon of the Hidden Realm
Rorix Bladewing
Rosheen Meanderer
Rubinia Soulsinger
Ruff, Underdog Champ
Ruhan of the Fomori
Rune-Tail, Kitsune Ascendant // Rune-Tail's Essence
Ruric Thar, the Unbowed
Ryusei, the Falling Star
Sachi, Daughter of Seshiro
Saffi Eriksdotter
Sai, Master Thopterist
Sakashima of a Thousand Faces
Sakashima the Impostor
Sakiko, Mother of Summer
Samut, Voice of Dissent
Sapling of Colfenor
Sarulf, Realm Eater
Sasaya, Orochi Ascendant // Sasaya's Essence
Saskia the Unyielding
Savra, Queen of the Golgari
Scion of the Ur-Dragon
Sedris, the Traitor King
Seizan, Perverter of Truth
Sek'Kuar, Deathkeeper
Sekki, Seasons' Guide
Selenia, Dark Angel
Selvala, Explorer Returned
Selvala, Heart of the Wilds
Sen Triplets
Sengir, the Dark Baron
Sensei Golden-Tail
Sephara, Sky's Blade
Seshiro the Anointed
Sethron, Hurloon General
Seton, Krosan Protector
Sevinne, the Chronoclasm
Shabraz, the Skyshark
Shalai, Voice of Plenty
Shanna, Sisay's Legacy
Sharuum the Hegemon
Shattergang Brothers
Shauku, Endbringer
Sheoldred, Whispering One
Shimatsu the Bloodcloaked
Shirei, Shizo's Caretaker
Shisato, Whispering Hunter
Shizuko, Caller of Autumn
Shu Yun, the Silent Tempest
Siani, Eye of the Storm
Sidar Jabari
Sidar Kondo of Jamuraa
Sidisi, Brood Tyrant
Sidisi, Undead Vizier
Sigarda, Heron's Grace
Sigarda, Host of Herons
Sigrid, God-Favored
Silas Renn, Seeker Adept
Silumgar, the Drifting Death
Silvar, Devourer of the Free
Silvos, Rogue Elemental
Sima Yi, Wei Field Marshal
Siona, Captain of the Pyleas
Sir Shandlar of Eberyn
Sisay, Weatherlight Captain
Sisters of Stone Death
Sivitri Scarzam
Skeleton Ship
Skithiryx, the Blight Dragon
Skullbriar, the Walking Grave
Skyfire Kirin
Slimefoot, the Stowaway
Slinn Voda, the Rising Deep
Sliv-Mizzet, Hivemind
Slivdrazi Monstrosity
Sliver Hivelord
Sliver Legion
Sliver Overlord
Sliver Queen
Slobad, Goblin Tinkerer
Slurrk, All-Ingesting
Snapdax, Apex of the Hunt
Sol'kanar the Swamp King
Sol, Advocate Eternal
Soramaro, First to Dream
Soraya the Falconer
Sosuke, Son of Seshiro
Spike, Tournament Grinder
Spirit of the Night
Squee, Goblin Nabob
Squee, the Immortal
Sram, Senior Edificer
Stangg
Starke of Rath
Stet, Draconic Proofreader
Stitcher Geralf
Stonebrow, Krosan Hero
Storrev, Devkarin Lich
Student of Elements // Tobita, Master of Winds
Subira, Tulzidi Caravanner
Sun Ce, Young Conquerer
Sun Quan, Lord of Wu
Sunastian Falconer
Surgeon General Commander
Surrak Dragonclaw
Surrak, the Hunt Caller
Sydri, Galvanic Genius
Sygg, River Cutthroat
Sygg, River Guide
Sylvia Brightspear
Syr Alin, the Lion's Claw
Syr Cadian, Knight Owl
Syr Carah, the Bold
Syr Elenora, the Discerning
Syr Faren, the Hengehammer
Syr Gwyn, Hero of Ashvale
Syr Konrad, the Grim
Szadek, Lord of Secrets
Taborax, Hope's Demise
Tahngarth, First Mate
Tahngarth, Talruum Hero
Taigam, Ojutai Master
Taigam, Sidisi's Hand
Tajic, Blade of the Legion
Tajic, Legion's Edge
Takeno, Samurai General
Talrand, Sky Summoner
Tana, the Bloodsower
Taniwha
Taranika, Akroan Veteran
Tariel, Reckoner of Souls
Tarox Bladewing
Tasigur, the Golden Fang
Tatyova, Benthic Druid
Tawnos, Urza's Apprentice
Tayam, Luminous Enigma
Tazri, Beacon of Unity
Teferi, Mage of Zhalfir
Telim'Tor
Temmet, Vizier of Naktamun
Teneb, the Harvester
Teshar, Ancestor's Apostle
Tetsuko Umezawa, Fugitive
Tetsuo Umezawa
Tetzimoc, Primal Death
Teysa Karlov
Teysa, Envoy of Ghosts
Teysa, Orzhov Scion
Thada Adel, Acquisitor
Thalia, Guardian of Thraben
Thalia, Heretic Cathar
Thalisse, Reverent Medium
Thantis, the Warweaver
Thassa, Deep-Dwelling
Thassa, God of the Sea
The Big Idea
The First Sliver
The Gitrog Monster
The Haunt of Hightower
The Lady of the Mountain
The Locust God
The Mimeoplasm
The Prismatic Piper
The Scarab God
The Scorpion God
The Unspeakable
The Ur-Dragon
Thelon of Havenwood
Thrasios, Triton Hero
Thraximundar
Thriss, Nantuko Primus
Thromok the Insatiable
Thrun, the Last Troll
Thryx, the Sudden Storm
Tiana, Ship's Caretaker
Tibor and Lumia
Timmy, Power Gamer
Tinybones, Trinket Thief
Tishana, Voice of Thunder
Titania, Protector of Argoth
Tivadar of Thorn
Tobias Andrion
Toggo, Goblin Weaponsmith
Tolsimir Wolfblood
Tolsimir, Friend to Wolves
Tomik, Distinguished Advokist
Tomorrow, Azami's Familiar
Toothy, Imaginary Friend
Tor Wauki
Torbran, Thane of Red Fell
Torgaar, Famine Incarnate
Tormod, the Desecrator
Torsten Von Ursus
Toshiro Umezawa
Toski, Bearer of Secrets
Traxos, Scourge of Kroog
Treva, the Renewer
Triad of Fates
Tromokratis
Trostani Discordant
Trostani, Selesnya's Voice
Trynn, Champion of Freedom
Tsabo Tavoc
Tuknir Deathlock
Tuktuk the Explorer
Tuvasa the Sunlit
Tuya Bearclaw
Tymaret, Chosen from Death
Tymaret, the Murder King
Tymna the Weaver
Ukkima, Stalking Shadow
Ulamog, the Ceaseless Hunger
Ulamog, the Infinite Gyre
Ulasht, the Hate Seed
Ulrich of the Krallenhorde // Ulrich, Uncontested Alpha
Umori, the Collector
Unesh, Criosphinx Sovereign
Ur-Drago
Urabrask the Hidden
Urgoros, the Empty One
Uril, the Miststalker
Uro, Titan of Nature's Wrath
Urza, Lord High Artificer
Uyo, Silent Prophet
Vadrok, Apex of Thunder
Vaevictis Asmadi
Vaevictis Asmadi, the Dire
Valduk, Keeper of the Flame
Valki, God of Lies // Tibalt, Cosmic Impostor
Varchild, Betrayer of Kjeldor
Varina, Lich Queen
Varolz, the Scar-Striped
Varragoth, Bloodsky Sire
Vazal, the Compleat
Vela the Night-Clad
Veldrane of Sengir
Vendilion Clique
Venser, Shaper Savant
Verazol, the Split Current
Verdeloth the Ancient
Verix Bladewing
Vhati il-Dal
Vial Smasher the Fierce
Vilis, Broker of Blood
Virtus the Veiled
Visara the Dreadful
Vish Kal, Blood Arbiter
Vito, Thorn of the Dusk Rose
Volrath the Fallen
Volrath, the Shapestealer
Vona, Butcher of Magan
Vorel of the Hull Clade
Vorinclex, Monstrous Raider
Vorinclex, Voice of Hunger
Vorosh, the Hunter
Wasitora, Nekoru Queen
Westvale Abbey // Ormendahl, Profane Prince
Whisper, Blood Liturgist
